Country,State,District,City,Pincode,Urban_Rural
India,Andhra Pradesh,Anantapur,Kakinada,110054,Rural
India,Andhra Pradesh,Anantapur,Kakinada,112098,Urban
India,Andhra Pradesh,Anantapur,Kakinada,118908,Urban
India,Andhra Pradesh,Anantapur,Kakinada,116390,Urban
India,Andhra Pradesh,Anantapur,Kakinada,117210,Urban
India,Andhra Pradesh,Anantapur,Kakinada,114911,Urban
India,Andhra Pradesh,Anantapur,Kakinada,111310,Urban
India,Andhra Pradesh,Anantapur,Tirupati,114467,Urban
India,Andhra Pradesh,Anantapur,Tirupati,118751,Rural
India,Andhra Pradesh,Anantapur,Tirupati,114515,Urban
India,Andhra Pradesh,Anantapur,Tirupati,117270,Urban
India,Andhra Pradesh,Anantapur,Tirupati,115039,Urban
India,Andhra Pradesh,Anantapur,Tirupati,119348,Rural
India,Andhra Pradesh,Anantapur,Tenali,112084,Urban
India,Andhra Pradesh,Anantapur,Tenali,117737,Urban
India,Andhra Pradesh,Anantapur,Visakhapatnam,112024,Rural
India,Andhra Pradesh,Anantapur,Visakhapatnam,115290,Urban
India,Andhra Pradesh,Anantapur,Visakhapatnam,115848,Urban
India,Andhra Pradesh,Anantapur,Chittoor,110092,Rural
India,Andhra Pradesh,Anantapur,Chittoor,112063,Rural
India,Andhra Pradesh,Anantapur,Chittoor,118227,Rural
India,Andhra Pradesh,Anantapur,Chittoor,117460,Rural
India,Andhra Pradesh,Anantapur,Chittoor,117429,Rural
India,Andhra Pradesh,Anantapur,Chittoor,112886,Rural
India,Andhra Pradesh,Anantapur,Chittoor,118952,Urban
India,Andhra Pradesh,Anantapur,Rajahmundry,115013,Urban
India,Andhra Pradesh,Anantapur,Rajahmundry,114469,Urban
India,Andhra Pradesh,Anantapur,Rajahmundry,112733,Rural
India,Andhra Pradesh,Anantapur,Rajahmundry,114436,Urban
India,Andhra Pradesh,Anantapur,Rajahmundry,119296,Rural
India,Andhra Pradesh,Anantapur,Nellore,114151,Rural
India,Andhra Pradesh,Anantapur,Nellore,114296,Rural
India,Andhra Pradesh,Anantapur,Nellore,113605,Urban
India,Andhra Pradesh,Anantapur,Nellore,115243,Rural
India,Andhra Pradesh,Anantapur,Nellore,114218,Rural
India,Andhra Pradesh,Anantapur,Nellore,119493,Rural
India,Andhra Pradesh,Anantapur,Nellore,112374,Urban
