Country,State,District,City,Area,Pincode,Property_Type,Avg_Price_Per_SqFt_INR,Urban_Rural
India,Andhra Pradesh,Anantapur,Kakinada,Civil Lines,110054,Villa,1557,Rural
India,Andhra Pradesh,Anantapur,Kakinada,Cantonment,112098,Plot,5314,Urban
India,Andhra Pradesh,Anantapur,Kakinada,Old Town,118908,Duplex,8353,Urban
India,Andhra Pradesh,Anantapur,Kakinada,New Town,116390,Duplex,11277,Urban
India,Andhra Pradesh,Anantapur,Kakinada,City Centre,117210,Duplex,8310,Urban
India,Andhra Pradesh,Anantapur,Kakinada,Model Town,114911,Villa,6923,Urban
India,Andhra Pradesh,Anantapur,Kakinada,Railway Colony,111310,Plot,7307,Urban
India,Andhra Pradesh,Anantapur,Tirupati,Collectorate Area,114467,Independent House,5659,Urban
India,Andhra Pradesh,Anantapur,Tirupati,Court Area,118751,Apartment,2137,Rural
India,Andhra Pradesh,Anantapur,Tirupati,Secretariat,114515,Villa,10641,Urban
India,Andhra Pradesh,Anantapur,Tirupati,Gandhi Nagar,117270,Apartment,10415,Urban
India,Andhra Pradesh,Anantapur,Tirupati,Nehru Nagar,115039,Duplex,11357,Urban
India,Andhra Pradesh,Anantapur,Tirupati,Ambedkar Nagar,119348,Apartment,2551,Rural
India,Andhra Pradesh,Anantapur,Tenali,Rajaji Nagar,112084,Independent House,8914,Urban
India,Andhra Pradesh,Anantapur,Tenali,Anna Nagar,117737,Plot,9301,Urban
India,Andhra Pradesh,Anantapur,Visakhapatnam,Subhash Nagar,112024,Duplex,1810,Rural
India,Andhra Pradesh,Anantapur,Visakhapatnam,Netaji Nagar,115290,Duplex,5359,Urban
India,Andhra Pradesh,Anantapur,Visakhapatnam,Indira Nagar,115848,Duplex,9339,Urban
India,Andhra Pradesh,Anantapur,Chittoor,Rajiv Nagar,110092,Villa,2179,Rural
India,Andhra Pradesh,Anantapur,Chittoor,Sardar Puram,112063,Independent House,3699,Rural
India,Andhra Pradesh,Anantapur,Chittoor,Lal Bahadur Colony,118227,Duplex,2741,Rural
India,Andhra Pradesh,Anantapur,Chittoor,Jawaharlal Layout,117460,Plot,1916,Rural
India,Andhra Pradesh,Anantapur,Chittoor,Tilak Nagar,117429,Independent House,3226,Rural
India,Andhra Pradesh,Anantapur,Chittoor,Vivekananda Colony,112886,Duplex,3483,Rural
India,Andhra Pradesh,Anantapur,Chittoor,Tagore Town,118952,Villa,5644,Urban
India,Andhra Pradesh,Anantapur,Rajahmundry,Patel Nagar,115013,Independent House,9720,Urban
India,Andhra Pradesh,Anantapur,Rajahmundry,Shastri Nagar,114469,Villa,7016,Urban
India,Andhra Pradesh,Anantapur,Rajahmundry,Azad Nagar,112733,Apartment,2100,Rural
India,Andhra Pradesh,Anantapur,Rajahmundry,Bose Road,114436,Apartment,4360,Urban
India,Andhra Pradesh,Anantapur,Rajahmundry,Ram Nagar,119296,Plot,2949,Rural
India,Andhra Pradesh,Anantapur,Nellore,Krishna Colony,114151,Duplex,3263,Rural
India,Andhra Pradesh,Anantapur,Nellore,Shiva Nagar,114296,Apartment,2320,Rural
India,Andhra Pradesh,Anantapur,Nellore,Vishnu Layout,113605,Plot,4501,Urban
India,Andhra Pradesh,Anantapur,Nellore,Lakshmi Nagar,115243,Apartment,3087,Rural
India,Andhra Pradesh,Anantapur,Nellore,Saraswati Puram,114218,Villa,2336,Rural
India,Andhra Pradesh,Anantapur,Nellore,Durga Colony,119493,Independent House,3026,Rural
India,Andhra Pradesh,Anantapur,Nellore,Hanuman Street,112374,Apartment,8148,Urban
India,Andhra Pradesh,Anantapur,Nellore,Ganesh Nagar,118346,Plot,10912,Urban
India,Andhra Pradesh,Anantapur,Guntur,Kali Bari,116236,Duplex,4690,Urban
India,Andhra Pradesh,Anantapur,Guntur,Temple Road,110083,Villa,6871,Urban
India,Andhra Pradesh,Anantapur,Guntur,Church Street,117212,Plot,5760,Urban
India,Andhra Pradesh,Anantapur,Guntur,Mosque Road,110975,Plot,2327,Rural
India,Andhra Pradesh,Anantapur,Guntur,Gurudwara Area,115054,Plot,4702,Urban
India,Andhra Pradesh,Anantapur,Guntur,MG Road,119917,Duplex,3850,Rural
India,Andhra Pradesh,Anantapur,Guntur,Main Road,115855,Villa,4904,Urban
India,Andhra Pradesh,Anantapur,Hindupur,Station Road,112357,Apartment,7957,Urban
India,Andhra Pradesh,Anantapur,Hindupur,Bypass Road,118126,Apartment,8881,Urban
India,Andhra Pradesh,Anantapur,Hindupur,Ring Road,114631,Duplex,3366,Rural
India,Andhra Pradesh,Anantapur,Hindupur,Market Area,119407,Duplex,9366,Urban
India,Andhra Pradesh,Anantapur,Hindupur,Commercial Street,111311,Plot,10525,Urban
India,Andhra Pradesh,Anantapur,Vijayawada,Shopping Complex,114317,Duplex,7497,Urban
India,Andhra Pradesh,Anantapur,Vijayawada,Trade Centre,110228,Villa,5761,Urban
India,Andhra Pradesh,Anantapur,Vijayawada,Sadar Bazar,118088,Apartment,10474,Urban
India,Andhra Pradesh,Anantapur,Vijayawada,Bara Bazar,113243,Plot,9185,Urban
India,Andhra Pradesh,Anantapur,Vijayawada,Kirana Market,111917,Duplex,10541,Urban
India,Andhra Pradesh,Anantapur,Vijayawada,Mandi Area,111745,Independent House,3549,Rural
India,Andhra Pradesh,Anantapur,Vijayawada,Bus Stand,119030,Independent House,2799,Rural
India,Andhra Pradesh,Anantapur,Vijayawada,East Extension,117638,Independent House,3464,Rural
India,Andhra Pradesh,Anantapur,Nandyal,West Extension,112163,Independent House,7723,Urban
India,Andhra Pradesh,Anantapur,Nandyal,North Colony,111509,Plot,11052,Urban
India,Andhra Pradesh,Anantapur,Nandyal,South Area,119552,Apartment,8289,Urban
India,Andhra Pradesh,Anantapur,Nandyal,Central Zone,116436,Independent House,1794,Rural
India,Andhra Pradesh,Anantapur,Nandyal,Inner Circle,115174,Apartment,8716,Urban
India,Andhra Pradesh,Chittoor,Adoni,Outer Ring,111919,Independent House,9033,Urban
India,Andhra Pradesh,Chittoor,Adoni,Upper Road,116350,Villa,6216,Urban
India,Andhra Pradesh,Chittoor,Adoni,Lower Market,116775,Plot,5078,Urban
India,Andhra Pradesh,Chittoor,Adoni,Park Road,118108,Duplex,2081,Rural
India,Andhra Pradesh,Chittoor,Adoni,Garden Colony,117081,Independent House,5411,Urban
India,Andhra Pradesh,Chittoor,Tirupati,Lake View,117518,Duplex,7380,Urban
India,Andhra Pradesh,Chittoor,Tirupati,Hill View,114194,Plot,7152,Urban
India,Andhra Pradesh,Chittoor,Tirupati,River Side,119125,Independent House,11124,Urban
India,Andhra Pradesh,Chittoor,Tirupati,Fort Area,116384,Duplex,7884,Urban
India,Andhra Pradesh,Chittoor,Tirupati,Palace Road,114023,Independent House,7464,Urban
India,Andhra Pradesh,Chittoor,Tirupati,Stadium Road,114588,Independent House,9548,Urban
India,Andhra Pradesh,Chittoor,Tirupati,Hospital Road,114986,Plot,3890,Rural
India,Andhra Pradesh,Chittoor,Tirupati,University Road,114997,Plot,9686,Urban
India,Andhra Pradesh,Chittoor,Visakhapatnam,Airport Road,117969,Villa,11237,Urban
India,Andhra Pradesh,Chittoor,Visakhapatnam,IT Park,117357,Independent House,4026,Urban
India,Andhra Pradesh,Chittoor,Visakhapatnam,Industrial Area,119653,Duplex,5108,Urban
India,Andhra Pradesh,Chittoor,Visakhapatnam,Tech Zone,114999,Independent House,6502,Urban
India,Andhra Pradesh,Chittoor,Visakhapatnam,Business District,113575,Plot,10775,Urban
India,Andhra Pradesh,Chittoor,Kadapa,Green Park,119237,Apartment,3247,Rural
India,Andhra Pradesh,Chittoor,Kadapa,Flora Valley,111609,Independent House,6639,Urban
India,Andhra Pradesh,Chittoor,Kadapa,Sunrise Colony,112793,Independent House,7480,Urban
India,Andhra Pradesh,Chittoor,Kadapa,Sunset Avenue,112726,Villa,2404,Rural
India,Andhra Pradesh,Chittoor,Kakinada,Valley View,114219,Plot,4105,Urban
India,Andhra Pradesh,Chittoor,Kakinada,Highland,111211,Apartment,5888,Urban
India,Andhra Pradesh,Chittoor,Kakinada,Meadows,119817,Apartment,11160,Urban
India,Andhra Pradesh,Chittoor,Kakinada,Paradise Colony,111389,Plot,9501,Urban
India,Andhra Pradesh,Chittoor,Kakinada,Silver Oak,110596,Duplex,1555,Rural
India,Andhra Pradesh,Chittoor,Hindupur,Golden Avenue,113157,Duplex,1599,Rural
India,Andhra Pradesh,Chittoor,Hindupur,Ashok Nagar,118828,Apartment,8120,Urban
