City,Area,PropertyType,Size,Bedrooms,Bathrooms,YearBuilt,Age,AmenitiesCount,Price
Delhi,Greater Kailash,Villa,4720,3,3,2013,11,2,80049375
Chennai,T. Nagar,Penthouse,1746,2,2,2020,4,2,14164701
Bangalore,Indiranagar,Penthouse,1058,2,2,2012,12,2,10744639
Pune,Baner,Apartment,1167,3,2,2013,11,2,8862322
Bangalore,Electronic City,Apartment,1584,2,1,2018,6,3,12770740
Hyderabad,Banjara Hills,Builder Floor,2030,2,1,2016,8,8,13358793
Bangalore,Indiranagar,Penthouse,1715,2,1,2014,10,2,15767672
Hyderabad,Madhapur,Independent House,1813,2,2,2020,4,4,15682438
Chennai,T. Nagar,Builder Floor,2987,2,1,2014,10,0,21269733
Hyderabad,Jubilee Hills,Penthouse,2851,3,2,2012,12,1,19769521
Delhi,Vasant Kunj,Villa,3857,2,2,2014,10,5,56516551
Bangalore,HSR Layout,Independent House,1916,3,3,2014,10,0,15960314
Delhi,Dwarka,Studio,499,1,1,2020,4,0,4971239
Mumbai,Andheri West,Studio,760,1,1,2014,10,1,19176575
Hyderabad,Madhapur,Independent House,1011,3,3,2012,12,1,7715895
Hyderabad,Banjara Hills,Apartment,1196,3,2,2012,12,4,8638658
Pune,Viman Nagar,Independent House,1002,3,2,2013,11,6,8539036
Mumbai,Powai,Independent House,1963,2,1,2018,6,5,63741013
Delhi,Rohini,Villa,4106,4,3,2011,13,1,59451107
Delhi,Dwarka,Villa,2388,3,3,2014,10,5,32954999
Pune,Viman Nagar,Apartment,2368,1,1,2012,12,1,19655280
Delhi,Lajpat Nagar,Studio,493,1,1,2017,7,8,5820370
Delhi,Dwarka,Studio,465,1,1,2019,5,5,4631605
Delhi,Saket,Independent House,1810,2,1,2022,2,4,20773687
Mumbai,Bandra,Villa,3977,3,2,2016,8,2,166898566
Pune,Wakad,Studio,685,1,1,2013,11,6,4276331
Delhi,Lajpat Nagar,Studio,420,1,1,2016,8,8,5036833
Mumbai,Lower Parel,Builder Floor,1345,2,1,2020,4,1,44506441
Mumbai,Andheri West,Apartment,2494,3,3,2011,13,8,79831035
Bangalore,Yelahanka,Builder Floor,2022,4,3,2022,2,6,21743437
Hyderabad,Gachibowli,Villa,2716,1,1,2013,11,7,25626643
Chennai,Adyar,Apartment,1085,3,2,2021,3,7,8532779
Bangalore,Koramangala,Builder Floor,2274,1,1,2014,10,1,19888490
Hyderabad,Jubilee Hills,Independent House,1156,2,1,2022,2,5,9510740
Mumbai,Worli,Penthouse,2923,3,3,2018,6,6,91474485
Delhi,Rohini,Villa,3548,2,1,2017,7,8,50108494
Bangalore,HSR Layout,Apartment,1077,3,2,2010,14,2,8406686
Delhi,Vasant Kunj,Independent House,1883,1,1,2019,5,3,21596801
Bangalore,HSR Layout,Villa,2207,5,5,2017,7,4,27615231
Pune,Kothrud,Independent House,2423,2,2,2021,3,8,18786238
Chennai,T. Nagar,Villa,2301,5,5,2010,14,4,25764167
Mumbai,Powai,Builder Floor,2047,2,2,2013,11,6,63961411
Pune,Hinjewadi,Apartment,2058,1,1,2010,14,7,14625352
Chennai,OMR,Penthouse,2788,3,3,2015,9,3,25252625
Mumbai,Lower Parel,Apartment,1164,3,2,2016,8,7,32637353
Hyderabad,Banjara Hills,Independent House,2304,1,1,2010,14,7,16783276
Hyderabad,Banjara Hills,Apartment,1024,2,1,2023,1,4,8574536
Hyderabad,Madhapur,Independent House,1766,1,1,2017,7,5,14905098
Delhi,Vasant Kunj,Builder Floor,2285,3,3,2016,8,6,28871536
Pune,Viman Nagar,Studio,567,1,1,2015,9,6,4877100
Bangalore,Whitefield,Studio,577,1,1,2011,13,3,3756174
Delhi,Vasant Kunj,Independent House,2228,4,4,2021,3,1,25948329
Chennai,OMR,Apartment,1809,2,1,2015,9,0,17498834
Pune,Viman Nagar,Independent House,2138,3,2,2010,14,2,17410544
Chennai,Velachery,Builder Floor,1395,4,4,2023,1,8,13031492
Bangalore,Electronic City,Villa,2755,3,3,2012,12,7,31681205
Delhi,Saket,Independent House,2556,3,2,2010,14,3,26538128
Pune,Viman Nagar,Independent House,2305,2,1,2012,12,0,18660864
Delhi,Saket,Villa,3162,2,2,2010,14,8,44820437
Delhi,Dwarka,Independent House,1661,2,2,2016,8,7,17256311
Chennai,Anna Nagar,Independent House,1063,1,1,2020,4,4,8098915
Delhi,Rohini,Independent House,1824,3,2,2018,6,4,18390082
Mumbai,Goregaon,Independent House,1839,3,2,2015,9,6,58734728
Hyderabad,Madhapur,Apartment,1470,2,2,2020,4,8,11994100
Delhi,Dwarka,Independent House,1607,3,2,2016,8,2,16183407
